vid,tmstmp,rt,des,lat,lon,pdist,dly,matched_trip_id,prev_stop_name,next_stop_name,scheduled_arrival_next_minutes,delay_minutes,on_time_status,dist_from_next_stop_km,time_match_score_minutes,is_ghost,ghost_score,ghost_frozen,ghost_jump
1536,2026-02-19 23:39:00,49,79th,41.907911028180806,-87.68721335274833,25836,False,6770005108020,79th Street & Pulaski,79th Street & Springfield,1418.5,0.5,on_time,17.825,0.63,False,0,False,False
1536,2026-02-19 23:40:00,49,79th,41.90316081047058,-87.68711853027344,27567,False,6770002395070,79th Street & Karlov,79th Street & Tripp,1417.8333740234375,2.2,on_time,17.41,0.39,False,0,False,False
1550,2026-02-19 23:38:00,36,Devon/Clark,41.96017837524414,-87.65413665771484,34568,False,6770012340010,Cicero & 76th Street,76th Street & Ford City Movie Theatre,1418.3333740234375,-0.3,on_time,23.83,0.3,False,0,False,False
1550,2026-02-19 23:40:00,36,Devon/Clark,41.9616584777832,-87.65506744384766,35163,False,6770025810010,79th Street & Campbell,79th Street & Western Terminal,1419.5,0.5,on_time,23.539,0.75,False,0,False,False
1570,2026-02-19 23:38:00,9,Ravenswood Metra,41.860530853271484,-87.66617965698242,51946,False,6770043919010,79th Street & Laflin,79th Street & Ashland,1418.5333251953125,-0.5,on_time,12.245,0.11,False,0,False,False
1570,2026-02-19 23:40:00,9,Ravenswood Metra,41.86334409713745,-87.66629619598389,52979,False,6770025229070,79th Street & Western,79th Street & Campbell,1420.61669921875,-0.6,on_time,12.679,2.16,False,0,False,False
1572,2026-02-19 23:39:00,94,74th/Damen,41.80828846202177,-87.69144035788143,55445,False,6770001504010,79th Street & Michigan,79th Red Line Station,1419.0,0.0,on_time,8.401,0.0,False,0,False,False
1572,2026-02-19 23:39:00,94,74th/Damen,41.80830764770508,-87.68934631347656,56020,False,6770010072070,79th Street & Halsted,79th Street & Union,1419.5333251953125,-0.5,on_time,7.545,0.01,False,0,False,False
1572,2026-02-19 23:40:00,94,74th/Damen,41.80841554914202,-87.68441772460938,57365,False,6770043059070,79th Street & Francisco,79th Street & California,1418.816650390625,1.2,on_time,6.55,0.39,False,0,False,False
1573,2026-02-19 23:39:00,94,74th/Damen,41.94576644897461,-87.69800567626953,1626,False,6770045954070,Irving Park & Harlem,Forest Preserve Avenue & Harlem/Irving Park,1419.0,0.0,on_time,9.205,0.07,False,0,False,False
1573,2026-02-19 23:39:00,94,74th/Damen,41.94350051879883,-87.69795227050781,2454,False,6770043790070,Irving Park & Fremont,Irving Park & Sheridan,1418.2332763671875,0.8,on_time,3.81,0.5,False,0,False,False
1573,2026-02-19 23:40:00,94,74th/Damen,41.939571380615234,-87.69793701171875,3883,False,6770020732010,Irving Park Blue Line Station,Irving Park & Pulaski,1421.0,-1.0,on_time,2.918,2.3,False,0,False,False
1577,2026-02-19 23:39:00,63,Midway Orange Line,41.78051347552606,-87.5960303252598,3651,False,6770047635010,Irving Park & Clark,Irving Park & Seminary,1420.86669921875,-1.9,early,19.983,1.36,False,0,False,False
1577,2026-02-19 23:40:00,63,Midway Orange Line,41.78044891357422,-87.6029301693565,5531,False,6770043790070,Irving Park & Kenmore,Irving Park & Clark,1420.5167236328125,-0.5,on_time,19.959,1.03,False,0,False,False
1580,2026-02-19 23:38:00,75,Lakefront,41.759071350097656,-87.5604255312965,45549,False,6770029010020,Irving Park & Keeler,Irving Park Blue Line Station,1420.1666259765625,-2.2,early,25.791,0.58,False,0,False,False
1580,2026-02-19 23:39:00,75,Lakefront,41.75957749106667,-87.559176011519,45945,False,6770030857020,Irving Park & Narragansett,Irving Park & Natchez,1419.0999755859375,-0.1,on_time,28.708,0.37,False,0,False,False
1580,2026-02-19 23:40:00,75,Lakefront,41.761390979473404,-87.55531897911659,47225,False,6770008466020,Lawrence & Lamon,Lawrence & Cicero,1418.9000244140625,1.1,on_time,27.966,0.43,False,0,False,False
1582,2026-02-19 23:39:00,63,Midway Orange Line,41.782127380371094,-87.74231719970703,45345,False,6770030497070,Lawrence & Kostner,Lawrence & Elston,1417.9166259765625,1.1,on_time,20.691,0.54,False,0,False,False
1582,2026-02-19 23:40:00,63,Midway Orange Line,41.784274618966236,-87.74098161969866,46287,False,6770034207020,Lawrence & Ashland,Lawrence & Hermitage,1419.9166259765625,0.1,on_time,21.303,0.78,False,0,False,False
1621,2026-02-19 23:38:00,80,Harlem,41.95446259634836,-87.65696280343192,1501,False,6770034503020,Lawrence & Lawndale,Lawrence & Hamlin,1417.75,0.2,on_time,5.676,0.4,False,0,False,False
1621,2026-02-19 23:39:00,80,Harlem,41.95439910888672,-87.6615784103806,2759,False,6770031537010,Devon & Kedzie Terminal,McCormick & Devon,1416.2667236328125,2.7,on_time,6.306,2.5,False,0,False,False
1621,2026-02-19 23:40:00,80,Harlem,41.95436096191406,-87.66413951369951,3452,False,6770019360020,Lawndale & 25th Street,Central Park & 25th Street,1417.86669921875,2.1,on_time,12.716,1.23,False,0,False,False
1806,2026-02-19 23:39:00,147,Howard Station,41.88653448353643,-87.62445084945016,6500,False,6770002089020,Kimball & Altgeld,Kimball & Wrightwood,1420.5999755859375,-1.6,early,8.612,2.11,False,0,False,False
1806,2026-02-19 23:39:00,147,Howard Station,41.88653448353643,-87.62445084945016,6500,False,6770004883070,Kimball & Grace,Kimball & Byron,1419.0167236328125,-0.0,on_time,10.312,0.5,False,0,False,False
1807,2026-02-19 23:38:00,155,Morse Red Line,41.9977543422154,-87.68836713518415,5908,False,6770023716010,31st Street & Pulaski,31st Street & Springfield,1417.63330078125,0.4,on_time,18.108,0.75,False,0,False,False
1807,2026-02-19 23:39:00,155,Morse Red Line,41.99778020949591,-87.68742443266369,6164,False,6770020459010,Kimball & Dickens,Kimball & Armitage,1422.0167236328125,-3.0,early,9.189,2.3,False,0,False,False
1855,2026-02-19 23:39:00,146,Berwyn Red Line,41.8868293762207,-87.62445831298828,14846,False,6770033434020,Homan & Ohio,Homan & Franklin,1419.0833740234375,-0.1,on_time,7.202,0.53,False,0,False,False
1855,2026-02-19 23:40:00,146,Berwyn Red Line,41.88793182373047,-87.62448120117188,15250,False,6770019609020,Milwaukee & Foster,Milwaukee & Gale,1419.38330078125,0.6,on_time,14.72,0.34,False,0,False,False
1865,2026-02-19 23:39:00,49B,Western Brown Line,42.01814270019531,-87.68987274169922,1,False,6770026236070,Central & Wellington,Central & Barry,1420.9166259765625,-1.9,early,11.048,2.72,False,0,False,False
1865,2026-02-19 23:40:00,49B,Western Brown Line,42.01589144831119,-87.69024707960045,901,False,6770026236070,Central & Diversey,Central & George,1419.7833251953125,0.2,on_time,11.152,0.24,False,0,False,False
1873,2026-02-19 23:39:00,50,Ashland/Clark,41.96131246230181,-87.67891737994026,49616,False,6770038097020,Central & Catalpa,Central & Bryn Mawr,1418.5333251953125,0.5,on_time,7.766,0.44,False,0,False,False
1873,2026-02-19 23:40:00,50,Ashland/Clark,41.96637898399716,-87.67912292480469,51452,False,6770008908070,Clark & Harrison,Dearborn & Polk,1416.300048828125,3.7,on_time,11.229,4.0,False,0,False,False
1929,2026-02-19 23:38:00,66,Pulaski,41.89506149291992,-87.73770904541016,10061,False,6770012559070,Clark & Lunt,Clark & Morse,1416.933349609375,1.1,on_time,13.612,1.31,False,0,False,False
1929,2026-02-19 23:39:00,66,Pulaski,41.89513397216797,-87.73418426513672,11019,False,6770000394020,Clark & Belden,Clark & Fullerton,1418.11669921875,0.9,on_time,8.473,0.03,False,0,False,False
4025,2026-02-19 23:39:00,151,Devon/Clark,41.92001879656756,-87.63548872205946,21079,False,6770004541070,Clark & Belle Plaine,Clark & Cullom,1418.949951171875,0.1,on_time,5.052,0.03,False,0,False,False
