,route,rides,ridership_score,log_ridership
77,55A,140.72961373390558,0.0027157952834865177,4.9539211138093036
78,55N,351.5444839857651,0.016440555439149056,5.8651768099946135
79,56,5252.038922155689,0.3354792965283688,8.566562030436446
80,57,1193.0119760479042,0.0712229315283797,7.08507432409312
81,59,2210.715302491103,0.13747885573508134,7.701523648432643
82,6,5802.892215568862,0.37134170663264804,8.66628404311642
83,60,8794.84131736527,0.5661276995327074,9.082034311194196
84,62,6658.338323353293,0.42703413782315036,8.803775407750958
85,62H,638.4199288256227,0.03511711592215566,6.460561404150074
86,63,9326.814371257486,0.6007609422694427,9.140756008226898
87,63W,947.5988023952095,0.05524570495323736,6.854985950945541
88,65,5842.700598802395,0.37393336684813566,8.67311953932039
89,66,15459.200598802396,1.0,9.64602429740021
90,67,4976.293413173653,0.31752733246502657,8.512641530943158
91,68,736.8443113772455,0.04152487568965377,6.603732842151807
92,7,4122.390557939914,0.26193537222845914,8.32443105486139
93,70,5816.0,0.3721950676753229,8.668539943910762
94,71,5980.865269461078,0.3829283536083726,8.69648771627846
95,72,9822.122754491018,0.6330071910983213,9.19249435023641
96,73,3692.188622754491,0.2339277730877162,8.214245489300879
97,74,8381.84131736527,0.5392400044781949,9.03394219535996
98,75,3968.1077844311376,0.25189104252805133,8.286296608985543
99,76,7523.937125748503,0.48338754372715437,8.925977734199911
100,77,12410.79640718563,0.8015385900554735,9.426402622532166
101,78,5194.146706586826,0.33171031774327026,8.555480143093554
102,79,13211.74251497006,0.8536828871528257,9.488936984974664
103,8,14086.766467065869,0.9106499021391369,9.553062073311352
104,80,7019.95508982036,0.45057661080950717,8.856654540446494
105,81,7934.51497005988,0.5101175482646446,8.97910352941296
106,81W,1174.5718562874251,0.07002241744390403,7.069509994387006
107,82,10214.359281437126,0.6585431139210042,9.231647678580059
108,84,2235.77245508982,0.13911016100871015,7.712789237536728
109,85,6133.6556886227545,0.39287552599982606,8.721709233096208
110,85A,573.8683274021353,0.03091458862347487,6.35414101875143
111,86,1831.5922746781116,0.11279666600147553,7.513486787024089
112,87,5579.601796407185,0.3568047461023491,8.627051898378584
113,88,763.745508982036,0.04327623452209636,6.639543110482924
114,8A,1640.9760479041915,0.10038690576433516,7.403655702758716
115,9,14870.736526946108,0.9616890011752818,9.607217813197153
116,90,2952.2095808383233,0.18575263791635474,7.990647851402396
117,91,3406.511976047904,0.21532925841255293,8.133737678178717
118,92,4344.8443113772455,0.27641786299396687,8.376975336745627
119,93,2622.9632107023413,0.16431758707368777,7.872441129654087
120,94,7573.491017964072,0.4866136694962982,8.932541435772086
121,95,4268.907185628743,0.27147409960306634,8.359347369599721
122,96,655.480686695279,0.03622782888825298,6.486893274719527
123,97,1879.688622754491,0.11592790072378396,7.539393277455863
124,J14,6182.604790419162,0.39606227786978754,8.72965667981933
125,N5,111.35074626865672,0.000803131773916175,4.721625640964922
126,X4,2483.678111587983,0.15524965663634052,7.817898397580494
127,X49,4534.639484978541,0.28877416989617,8.419721363628744
128,X9,5289.969957081545,0.33794873502761447,8.573756864770745
