,route_id,overall_n_obs,overall_delay_mean,overall_delay_median,overall_delay_std,overall_delay_p90,overall_early_pct,overall_on_time_pct,overall_otp_pct,overall_late_pct,overall_very_late_pct,overall_n_trips,early_morning_n_obs,am_peak_n_obs,midday_n_obs,pm_peak_n_obs,evening_n_obs,early_morning_delay_mean,am_peak_delay_mean,midday_delay_mean,pm_peak_delay_mean,evening_delay_mean,early_morning_delay_median,am_peak_delay_median,midday_delay_median,pm_peak_delay_median,evening_delay_median,early_morning_delay_std,am_peak_delay_std,midday_delay_std,pm_peak_delay_std,evening_delay_std,early_morning_delay_p90,am_peak_delay_p90,midday_delay_p90,pm_peak_delay_p90,evening_delay_p90,early_morning_early_pct,am_peak_early_pct,midday_early_pct,pm_peak_early_pct,evening_early_pct,early_morning_on_time_pct,am_peak_on_time_pct,midday_on_time_pct,pm_peak_on_time_pct,evening_on_time_pct,early_morning_otp_pct,am_peak_otp_pct,midday_otp_pct,pm_peak_otp_pct,evening_otp_pct,early_morning_late_pct,am_peak_late_pct,midday_late_pct,pm_peak_late_pct,evening_late_pct,early_morning_very_late_pct,am_peak_very_late_pct,midday_very_late_pct,pm_peak_very_late_pct,evening_very_late_pct,n_ghost_trips,ghost_rate_pct
21,157,57662.0,1.4,0.6,4.99,7.7,31.92,39.25,71.18,28.82,2.08,1262,378.0,16397.0,17051.0,16762.0,7074.0,0.34,1.97,1.17,1.36,0.74,0.4,1.1,0.4,0.5,-0.4,1.59,4.53,4.53,5.7,5.23,2.3,7.7,6.8,8.6,7.4,16.67,23.74,31.53,36.33,42.18,79.63,44.58,43.05,31.75,33.39,96.3,68.32,74.58,68.08,75.57,3.7,31.68,25.42,31.92,24.43,0.0,1.78,1.63,2.68,2.56,73,5.47
22,155,49523.0,2.16,0.9,5.71,8.4,22.51,48.7,71.2,28.8,3.62,2570,2043.0,10140.0,13129.0,13746.0,10465.0,6.54,0.68,1.27,4.42,0.87,0.7,0.4,0.7,2.6,0.4,12.64,3.9,3.83,6.74,3.88,24.7,4.9,5.82,13.65,5.2,22.76,27.63,23.09,16.05,25.24,45.57,53.28,53.39,36.87,54.51,68.33,80.92,76.49,52.92,79.74,31.67,19.08,23.51,47.08,20.26,23.25,0.44,0.66,7.87,1.01,331,11.41
23,28,65360.0,1.66,0.7,5.09,7.6,26.96,44.3,71.26,28.74,2.04,2013,2854.0,16760.0,16138.0,18905.0,10703.0,3.07,2.01,1.5,1.8,0.73,-0.4,1.1,0.8,0.8,0.2,10.32,4.59,4.58,5.06,4.29,25.8,8.0,7.0,8.3,5.9,37.35,23.22,26.09,26.79,31.64,44.22,43.82,45.46,42.39,46.71,81.57,67.04,71.55,69.18,78.34,18.43,32.96,28.45,30.82,21.66,12.4,1.43,1.43,2.17,0.92,145,6.72
24,85A,12015.0,2.05,1.0,3.78,7.1,13.85,57.67,71.52,28.48,0.61,1031,376.0,3283.0,3971.0,2988.0,1397.0,0.19,2.01,2.19,2.54,1.22,-0.05,0.9,1.1,1.4,0.5,2.5,3.63,3.58,4.41,3.12,3.6,8.0,7.2,7.3,5.3,27.13,14.96,11.06,11.91,19.76,59.57,56.87,59.71,54.55,59.91,86.7,71.82,70.76,66.47,79.67,13.3,28.18,29.24,33.53,20.33,0.0,0.03,0.33,1.87,0.21,137,11.73
25,59,41266.0,1.58,0.7,5.38,7.9,26.45,45.08,71.53,28.47,2.42,1295,961.0,11534.0,13145.0,11211.0,4415.0,-0.83,0.45,0.59,4.29,1.09,-1.3,-0.0,0.3,3.1,0.2,2.37,4.36,4.16,6.78,5.03,2.2,5.2,5.1,12.8,6.0,55.98,33.48,28.43,14.44,26.23,36.73,46.06,51.53,34.58,51.76,92.72,79.55,79.96,49.02,77.98,7.28,20.45,20.04,50.98,22.02,0.0,0.97,0.57,6.34,2.31,86,6.23
26,126,60941.0,1.27,0.5,5.0,7.5,30.94,40.75,71.69,28.31,1.44,1888,1446.0,14704.0,17101.0,15866.0,11824.0,0.66,1.15,1.21,1.84,0.81,0.0,0.2,0.5,1.0,0.3,3.2,5.08,4.93,5.09,5.01,5.4,7.4,7.0,8.8,6.5,30.91,33.96,30.21,28.34,31.71,50.76,38.9,43.94,36.49,42.92,81.67,72.86,74.16,64.83,74.63,18.33,27.14,25.84,35.17,25.37,0.0,1.75,1.68,1.26,1.12,111,5.55
27,49,195909.0,1.47,0.4,5.81,8.2,31.88,39.89,71.77,28.23,2.54,3058,14939.0,37662.0,60870.0,44836.0,37602.0,3.58,1.07,0.89,1.21,2.25,0.6,0.3,-0.0,0.5,1.2,10.7,4.64,4.75,5.41,5.85,18.12,7.1,7.0,8.1,9.6,28.53,31.26,36.26,33.62,24.69,41.16,43.33,40.02,36.71,39.52,69.69,74.59,76.27,70.33,64.21,30.31,25.41,23.73,29.67,35.79,11.9,1.17,1.49,1.76,2.83,885,22.44
28,73,62111.0,0.94,0.3,5.5,7.3,33.81,38.68,72.49,27.51,1.81,2031,2245.0,17159.0,17218.0,18236.0,7253.0,-0.73,0.42,1.11,1.16,1.75,-0.8,-0.1,0.6,0.4,1.3,2.17,4.41,5.55,6.53,5.38,1.8,5.8,7.4,9.2,7.6,44.41,36.73,30.85,36.48,23.93,51.31,41.79,40.35,31.47,41.61,95.72,78.52,71.2,67.94,65.55,4.28,21.48,28.8,32.06,34.45,0.0,0.64,1.74,3.25,1.65,231,10.21
29,136,11529.0,0.95,0.6,5.43,7.1,33.12,39.83,72.95,27.05,1.94,345,81.0,6605.0,10.0,4477.0,356.0,2.13,0.4,7.19,1.92,-1.49,2.0,0.3,6.05,1.2,-2.4,1.61,5.07,8.65,5.86,4.23,3.8,6.0,9.38,9.04,1.7,0.0,35.05,0.0,28.1,68.82,76.54,40.89,30.0,38.78,25.28,76.54,75.94,30.0,66.88,94.1,23.46,24.06,70.0,33.12,5.9,0.0,0.97,10.0,3.28,3.37,19,5.22
30,53,246206.0,1.22,0.1,6.66,8.3,36.18,36.89,73.07,26.93,3.7,3388,20596.0,50818.0,67800.0,55337.0,51655.0,3.42,0.64,0.86,1.34,1.26,0.3,-0.2,-0.2,0.6,0.4,11.37,5.23,5.86,6.88,5.91,18.3,6.9,8.0,9.2,7.7,32.57,39.7,39.75,34.28,31.48,38.71,36.28,34.5,34.78,42.19,71.29,75.98,74.25,69.06,73.68,28.71,24.02,25.75,30.94,26.32,11.92,1.94,2.88,3.93,2.97,985,22.52
