,route_id,overall_n_obs,overall_delay_mean,overall_delay_median,overall_delay_std,overall_delay_p90,overall_early_pct,overall_on_time_pct,overall_otp_pct,overall_late_pct,overall_very_late_pct,overall_n_trips,early_morning_n_obs,am_peak_n_obs,midday_n_obs,pm_peak_n_obs,evening_n_obs,early_morning_delay_mean,am_peak_delay_mean,midday_delay_mean,pm_peak_delay_mean,evening_delay_mean,early_morning_delay_median,am_peak_delay_median,midday_delay_median,pm_peak_delay_median,evening_delay_median,early_morning_delay_std,am_peak_delay_std,midday_delay_std,pm_peak_delay_std,evening_delay_std,early_morning_delay_p90,am_peak_delay_p90,midday_delay_p90,pm_peak_delay_p90,evening_delay_p90,early_morning_early_pct,am_peak_early_pct,midday_early_pct,pm_peak_early_pct,evening_early_pct,early_morning_on_time_pct,am_peak_on_time_pct,midday_on_time_pct,pm_peak_on_time_pct,evening_on_time_pct,early_morning_otp_pct,am_peak_otp_pct,midday_otp_pct,pm_peak_otp_pct,evening_otp_pct,early_morning_late_pct,am_peak_late_pct,midday_late_pct,pm_peak_late_pct,evening_late_pct,early_morning_very_late_pct,am_peak_very_late_pct,midday_very_late_pct,pm_peak_very_late_pct,evening_very_late_pct,n_ghost_trips,ghost_rate_pct
92,100,10284.0,0.82,0.5,4.26,4.6,26.06,55.42,81.48,18.52,1.0,502,282.0,4566.0,89.0,4737.0,610.0,-0.67,0.51,1.49,1.15,1.26,-0.9,0.5,1.0,0.7,0.4,1.9,3.22,2.1,5.03,5.16,1.6,4.15,4.8,5.2,3.9,43.26,27.51,7.87,24.36,23.11,53.19,54.99,68.54,55.06,60.49,96.45,82.5,76.4,79.42,83.61,3.55,17.5,23.6,20.58,16.39,0.0,0.0,0.0,1.79,2.95,36,6.69
93,48,8871.0,0.47,-0.1,4.46,5.7,32.19,49.4,81.59,18.41,0.54,662,,3759.0,743.0,4301.0,68.0,,0.39,-0.29,0.72,-2.55,,-0.1,-0.5,0.1,-2.0,,4.58,2.4,4.63,1.76,,4.7,2.6,7.0,-0.7,,31.68,34.72,31.53,75.0,,52.04,57.07,46.15,25.0,,83.72,91.79,77.68,100.0,,16.28,8.21,22.32,0.0,,0.56,0.0,0.63,0.0,32,4.61
94,78,78027.0,0.1,-0.5,4.35,5.4,41.85,39.98,81.82,18.18,0.69,2130,2183.0,18061.0,23029.0,21936.0,12818.0,-0.62,0.78,-0.68,0.85,-0.58,-0.8,-0.1,-1.0,-0.1,-0.8,2.37,4.41,3.86,5.02,3.68,1.7,6.3,3.9,7.6,3.5,41.18,34.77,49.9,37.59,44.74,53.05,43.05,37.01,37.18,43.52,94.23,77.82,86.92,74.77,88.26,5.77,22.18,13.08,25.23,11.74,0.0,0.89,0.13,1.36,0.37,175,7.59
95,11,19334.0,-0.03,-0.3,4.44,4.8,38.58,44.07,82.65,17.35,0.78,1038,16.0,4694.0,7464.0,6538.0,622.0,-2.06,-0.45,-0.07,0.35,-0.33,-2.5,-0.55,-0.3,-0.0,-0.5,1.0,2.84,4.79,5.0,3.18,-1.0,3.1,4.5,6.5,3.3,56.25,41.63,38.02,36.88,39.87,43.75,48.08,45.43,39.2,48.55,100.0,89.71,83.45,76.08,88.42,0.0,10.29,16.55,23.92,11.58,0.0,0.0,1.38,0.72,0.16,46,4.24
96,26,38250.0,-0.1,-0.5,4.79,5.1,42.18,40.51,82.68,17.32,1.08,775,2264.0,10919.0,8772.0,10861.0,5434.0,-0.29,0.05,0.43,-0.53,-0.3,-0.6,-0.4,-0.2,-0.7,-0.7,3.04,4.59,4.21,5.16,5.69,2.0,5.0,5.7,5.2,5.2,38.38,40.25,38.0,46.49,45.75,55.04,43.13,41.69,35.64,37.01,93.42,83.38,79.69,82.13,82.76,6.58,16.62,20.31,17.87,17.24,0.62,1.31,0.82,0.8,1.77,99,11.33
97,152,96450.0,0.07,-0.6,4.39,5.2,42.85,39.88,82.74,17.26,0.91,2570,3190.0,28423.0,22413.0,28632.0,13792.0,-1.3,-0.27,-0.06,0.82,-0.3,-1.2,-0.8,-0.7,-0.1,-0.7,2.22,3.82,4.28,5.16,4.05,0.6,4.3,4.7,7.2,3.8,55.61,45.93,43.47,37.79,43.08,41.97,39.89,40.79,36.98,43.94,97.59,85.82,84.26,74.78,87.02,2.41,14.18,15.74,25.22,12.98,0.06,0.33,1.09,1.48,0.81,166,6.07
98,115,40203.0,0.64,0.3,3.67,4.5,26.91,56.12,83.03,16.97,0.57,1842,2160.0,9625.0,11660.0,9305.0,7453.0,-0.68,0.17,0.59,1.06,1.16,-0.7,0.0,0.2,0.7,0.8,2.88,3.3,3.69,3.83,3.9,1.9,3.4,4.5,5.3,5.4,38.94,31.77,27.93,22.51,21.03,55.88,56.26,55.84,55.15,57.67,94.81,88.03,83.77,77.67,78.69,5.19,11.97,16.23,22.33,21.31,0.0,0.36,0.77,0.63,0.63,155,7.76
99,156,35724.0,-0.45,-0.8,4.37,4.6,45.83,38.08,83.91,16.09,0.66,1134,578.0,12064.0,8456.0,12027.0,2599.0,-2.33,-0.19,-0.28,-0.81,-0.07,-1.4,-0.4,-0.7,-1.2,-0.5,3.58,4.52,3.72,4.74,3.65,1.3,4.9,3.8,5.1,4.3,56.75,41.48,44.32,51.82,40.82,42.39,39.94,42.42,31.43,45.09,99.13,81.42,86.74,83.25,85.92,0.87,18.58,13.26,16.75,14.08,0.0,0.67,0.67,0.76,0.23,131,10.36
100,53A,60206.0,0.04,-0.6,5.04,5.2,41.63,42.28,83.91,16.09,1.01,2104,4487.0,13861.0,16194.0,15103.0,10561.0,2.03,-0.53,-0.42,0.53,-0.04,-0.6,-0.9,-0.7,-0.1,-0.5,10.29,3.88,4.39,4.57,4.24,11.1,4.1,4.4,6.3,4.9,40.99,47.08,44.12,35.66,39.45,41.68,40.35,42.17,41.99,45.68,82.66,87.43,86.29,77.65,85.12,17.34,12.57,13.71,22.35,14.88,8.62,0.17,0.57,0.3,0.56,129,5.78
101,55A,4460.0,0.17,-0.3,3.85,4.6,35.04,48.88,83.92,16.08,0.65,327,342.0,2081.0,,2037.0,,-0.17,0.64,,-0.25,,0.05,0.2,,-0.7,,3.85,4.11,,3.52,,4.89,5.0,,4.3,,34.8,27.39,,42.91,,47.95,55.36,,42.42,,82.75,82.75,,85.32,,17.25,17.25,,14.68,,0.0,1.11,,0.29,,54,14.17
102,3,152893.0,-0.16,-0.3,4.57,4.3,39.67,44.31,83.98,16.02,0.81,2739,6289.0,31541.0,41263.0,42345.0,31455.0,2.46,-0.06,-0.38,-0.17,-0.46,-0.4,-0.3,-0.4,-0.3,-0.3,10.39,3.84,4.15,4.43,3.82,18.3,4.4,4.2,4.7,3.6,38.08,38.3,41.11,39.7,39.45,40.63,45.21,43.41,42.6,47.59,78.71,83.51,84.52,82.3,87.04,21.29,16.49,15.48,17.7,12.96,13.75,0.31,0.19,0.37,0.14,477,14.83
103,134,9491.0,-0.68,-0.7,4.86,4.8,45.36,39.04,84.4,15.6,0.43,414,,5958.0,,3505.0,28.0,,-0.8,,-0.49,0.63,,-0.7,,-0.5,1.1,,4.41,,5.56,2.89,,3.7,,6.3,4.35,,45.59,,45.08,32.14,,41.96,,34.01,46.43,,87.55,,79.09,78.57,,12.45,,20.91,21.43,,0.12,,0.97,0.0,37,8.2
104,55N,12061.0,0.45,-0.2,4.75,4.7,32.19,52.33,84.52,15.48,1.33,859,560.0,3249.0,4040.0,3063.0,1149.0,-0.54,0.11,0.47,1.32,-0.44,-0.3,-0.3,-0.3,0.1,-0.8,2.73,3.78,4.73,6.04,3.66,2.1,4.3,5.0,5.7,2.2,30.36,31.55,34.03,27.82,40.03,65.0,53.03,49.78,52.76,52.05,95.36,84.58,83.81,80.57,92.08,4.64,15.42,16.19,19.43,7.92,0.0,0.58,1.83,1.83,1.04,72,7.73
105,84,44936.0,0.01,-0.6,4.1,4.5,41.17,43.73,84.9,15.1,0.77,1689,831.0,10885.0,14384.0,13775.0,5061.0,-0.37,0.07,-0.62,0.6,0.09,-0.4,-0.4,-1.0,-0.3,-0.5,2.01,3.71,3.69,4.79,3.93,1.8,4.5,3.1,6.1,4.4,30.2,37.29,48.28,37.61,40.8,65.1,47.94,41.55,41.44,43.59,95.31,85.23,89.83,79.05,84.39,4.69,14.77,10.17,20.95,15.61,0.0,0.53,0.37,1.4,0.81,101,5.64
106,X4,31704.0,-0.39,-0.5,4.27,4.3,42.51,42.39,84.9,15.1,0.58,665,178.0,14424.0,2988.0,13734.0,380.0,0.17,0.2,-1.55,-0.8,0.77,0.05,-0.0,-1.4,-0.9,-0.05,1.56,4.18,3.2,4.44,5.64,2.1,4.6,2.1,4.4,6.11,22.47,34.29,56.53,48.43,39.74,75.28,47.95,37.42,37.32,37.63,97.75,82.24,93.94,85.76,77.37,2.25,17.76,6.06,14.24,22.63,0.0,0.92,0.0,0.25,4.74,30,4.32
107,52A,51247.0,-0.2,-0.6,4.0,4.3,41.33,43.73,85.05,14.95,0.52,1661,3688.0,11467.0,13536.0,14582.0,7974.0,-1.33,-1.07,-0.08,0.65,-0.21,-1.2,-1.1,-0.4,-0.0,-0.4,3.21,3.43,3.85,4.55,3.84,1.4,2.6,4.4,6.2,3.9,52.87,50.0,39.69,35.32,37.27,41.16,41.56,44.8,42.15,49.07,94.03,91.57,84.49,77.48,86.34,5.97,8.43,15.51,22.52,13.66,0.22,0.1,0.41,1.15,0.31,113,6.37
108,87,106318.0,-0.36,-0.7,5.6,4.3,45.28,39.88,85.16,14.84,1.7,3057,8236.0,22403.0,28985.0,26654.0,20040.0,3.66,-0.77,-0.72,-0.33,-1.06,-0.5,-0.8,-0.7,-0.5,-1.0,11.98,3.99,4.32,5.21,4.34,21.1,3.58,4.0,5.1,3.5,39.34,46.03,45.08,43.45,49.6,39.11,42.03,41.0,37.99,38.69,78.45,88.07,86.08,81.44,88.29,21.55,11.93,13.92,18.56,11.71,16.04,0.35,0.28,0.82,0.55,485,13.69
109,49B,34949.0,0.25,-0.7,5.22,4.6,43.24,42.13,85.37,14.63,2.43,2561,1937.0,7877.0,9215.0,8470.0,7450.0,6.35,-0.07,-0.2,0.83,-1.12,0.1,-0.6,-0.7,-0.6,-1.2,13.08,3.61,3.54,5.17,3.36,23.1,3.3,4.0,7.0,2.2,26.07,39.38,43.11,42.35,52.97,45.74,49.63,43.11,35.27,39.84,71.81,89.01,86.23,77.62,92.81,28.19,10.99,13.77,22.38,7.19,23.7,0.86,0.47,3.15,0.16,502,16.39
110,80,108326.0,-0.16,-0.9,4.65,4.5,46.55,39.02,85.57,14.43,1.35,2673,7923.0,24837.0,30209.0,26636.0,18721.0,2.02,-0.5,-1.0,0.43,-0.12,-0.5,-0.9,-1.2,-0.5,-0.9,8.77,3.49,3.47,4.93,4.3,10.3,3.5,2.9,6.8,4.1,36.87,46.17,53.11,43.04,45.54,47.12,42.2,37.36,33.96,41.27,83.98,88.37,90.47,76.99,86.81,16.02,11.63,9.53,23.01,13.19,9.45,0.22,0.16,1.3,1.4,276,9.36
111,112,34129.0,0.43,-0.2,3.91,4.1,32.51,53.23,85.74,14.26,1.04,1625,2029.0,8482.0,9348.0,8819.0,5451.0,0.24,0.16,0.5,0.54,0.63,-0.3,-0.2,-0.2,0.0,-0.4,2.6,2.76,3.91,3.97,5.42,3.1,3.5,4.1,4.8,4.1,29.13,30.98,31.99,33.27,35.79,60.62,56.51,54.07,49.08,50.67,89.75,87.49,86.05,82.34,86.46,10.25,12.51,13.95,17.66,13.54,0.0,0.02,1.37,0.68,3.03,104,6.02
112,135,12734.0,-0.95,-0.8,5.07,4.1,46.37,39.39,85.76,14.24,0.9,467,67.0,6612.0,83.0,5476.0,496.0,-1.06,-1.08,1.89,-0.82,-1.09,-1.2,-1.0,1.2,-0.5,-0.7,0.74,4.59,4.44,5.74,3.04,-0.2,3.9,9.52,4.65,1.8,56.72,49.43,22.89,43.19,43.35,43.28,37.21,49.4,40.78,51.01,100.0,86.63,72.29,83.97,94.35,0.0,13.37,27.71,16.03,5.65,0.0,0.18,0.0,1.86,0.0,38,7.52
113,1,12940.0,0.05,-0.5,4.15,4.4,40.21,45.84,86.05,13.95,1.05,532,78.0,5497.0,314.0,6854.0,197.0,0.29,-0.29,-1.1,0.43,-2.31,0.35,-0.7,-0.9,-0.3,-2.8,3.17,3.75,2.13,4.51,2.16,3.98,4.0,0.8,5.2,1.04,16.67,43.24,46.18,36.8,74.11,66.67,44.21,52.55,47.2,25.38,83.33,87.45,98.73,83.99,99.49,16.67,12.55,1.27,16.01,0.51,0.0,0.2,0.0,1.82,0.0,63,10.59
114,51,22471.0,-0.01,-0.5,3.36,4.0,38.18,48.41,86.59,13.41,0.18,1284,165.0,5063.0,7994.0,6857.0,2392.0,-0.46,0.01,-0.57,0.83,-0.56,-1.0,-0.6,-0.7,0.1,-0.7,2.49,3.14,2.87,3.94,3.05,4.7,3.8,2.5,6.1,2.5,48.48,39.96,42.92,30.17,40.84,39.39,47.46,49.36,47.34,50.92,87.88,87.42,92.28,77.51,91.76,12.12,12.58,7.72,22.49,8.24,0.0,0.22,0.09,0.29,0.08,111,7.96
115,90,43695.0,-0.26,-0.8,3.84,3.8,45.12,42.07,87.19,12.81,0.97,1674,1809.0,10079.0,11978.0,11845.0,7984.0,-0.27,0.08,0.13,-0.37,-1.1,-0.4,-0.4,-0.6,-0.9,-1.4,1.87,2.83,4.55,3.97,3.78,2.1,3.6,4.9,4.0,2.5,32.78,36.39,43.63,48.82,55.7,62.19,51.33,39.93,37.51,35.77,94.97,87.73,83.56,86.33,91.47,5.03,12.27,16.44,13.67,8.53,0.0,0.11,1.63,1.17,1.03,85,4.83
116,121,10296.0,-0.64,-0.8,3.85,3.4,45.7,42.9,88.6,11.4,0.3,722,,5392.0,139.0,4765.0,,,-0.42,-2.7,-0.82,,,-0.6,-2.4,-0.9,,,3.98,2.82,3.7,,,3.1,0.92,3.7,,,43.58,66.91,47.47,,,46.01,32.37,39.69,,,89.6,99.28,87.16,,,10.4,0.72,12.84,,,0.41,0.0,0.19,,38,5.0
117,75,70565.0,-0.33,-0.7,3.43,3.4,44.07,44.54,88.62,11.38,0.3,2104,1797.0,16628.0,22109.0,18004.0,12027.0,-1.44,-0.71,-0.42,0.48,-0.69,-1.4,-0.9,-0.8,-0.1,-1.1,2.52,2.76,3.32,4.07,3.3,1.4,2.1,3.3,5.3,2.6,57.76,45.96,45.23,35.46,50.19,37.73,47.47,43.79,45.41,41.59,95.49,93.44,89.02,80.87,91.78,4.51,6.56,10.98,19.13,8.22,0.0,0.1,0.24,0.54,0.39,166,7.31
118,8A,39761.0,-0.36,-0.7,3.5,3.1,42.64,47.01,89.66,10.34,0.68,1708,801.0,8555.0,12787.0,9030.0,8588.0,5.19,-0.78,-0.38,-0.21,-0.57,0.0,-0.9,-0.8,-0.5,-0.7,10.18,2.92,3.39,3.34,2.59,20.5,2.2,3.4,3.7,2.3,40.95,46.16,43.96,38.93,41.24,25.34,46.77,44.65,47.84,51.93,66.29,92.93,88.61,86.77,93.18,33.71,7.07,11.39,13.23,6.82,25.09,0.22,0.26,0.12,0.06,137,7.43
119,68,18494.0,-0.12,-0.0,3.4,3.1,28.74,61.11,89.85,10.15,0.33,1220,1037.0,4625.0,4887.0,5221.0,2724.0,-0.85,-0.48,-0.21,0.92,-1.1,-0.4,-0.3,-0.0,0.5,-0.4,2.75,2.61,2.93,4.05,3.68,1.3,2.1,2.7,5.5,2.0,28.93,32.58,25.27,24.11,37.26,69.62,62.42,66.63,54.57,58.26,98.55,95.01,91.9,78.68,95.52,1.45,4.99,8.1,21.32,4.48,0.0,0.0,0.0,1.07,0.18,113,8.48
120,143,7491.0,-1.79,-1.9,4.83,2.9,59.31,31.21,90.52,9.48,1.0,317,,3432.0,,3991.0,68.0,,-0.59,,-2.9,2.16,,-0.4,,-3.1,-0.85,,3.3,,5.55,7.71,,3.2,,2.0,15.8,,41.67,,74.67,48.53,,47.93,,16.94,25.0,,89.6,,91.61,73.53,,10.4,,8.39,26.47,,0.03,,1.63,13.24,45,12.43
121,120,8254.0,-1.36,-1.1,3.58,2.6,51.1,40.37,91.47,8.53,0.01,658,4.0,4201.0,133.0,3916.0,,-6.25,-2.03,-0.45,-0.65,,-6.0,-1.7,0.0,-0.7,,0.5,3.56,3.03,3.49,,-6.0,1.8,3.38,3.5,,100.0,57.53,35.34,44.69,,0.0,37.09,51.88,43.54,,100.0,94.62,87.22,88.23,,0.0,5.38,12.78,11.77,,0.0,0.0,0.0,0.03,,72,9.86
122,43,21160.0,-0.6,-0.7,2.63,2.3,41.61,51.33,92.94,7.06,0.05,1329,625.0,4919.0,6828.0,5249.0,3539.0,-1.36,-0.81,-0.65,-0.35,-0.43,-1.3,-0.9,-0.7,-0.5,-0.4,2.07,2.49,2.35,2.46,3.48,0.5,2.0,2.0,2.7,3.5,57.12,45.8,42.14,38.35,36.87,40.48,49.08,52.37,53.29,51.48,97.6,94.88,94.51,91.64,88.36,2.4,5.12,5.49,8.36,11.64,0.0,0.0,0.04,0.06,0.11,80,5.68
